fname,ncalls,tottime,percall_tottime,cumtime,percall_cumtime,file_name,line_number
run_until_complete,1,3e-05,3e-05,4263.19713,4263.19713,base_events.py,617
run_forever,1,0.22912,0.22912,4263.19703,4263.19703,base_events.py,593
_run_once,69994,35.46064,0.00051,4262.96789,0.0609,base_events.py,1845
_run,24061291,28.76072,0.0,4185.51166,0.00017,events.py,78
<method 'run' of '_contextvars.Context' objects>,24061291,122.82107,1e-05,4156.75093,0.00017,~,0
_read_ready,8006111,9.47601,0.0,2906.69481,0.00036,selector_events.py,951
_read_ready__get_buffer,8006111,32.22028,0.0,2897.2188,0.00036,selector_events.py,954
buffer_updated,8006111,27.61424,0.0,2350.27754,0.00029,sslproto.py,432
_do_read,15841162,35.86947,0.0,2055.03585,0.00013,sslproto.py,720
_do_read__copied,8539511,112.9427,1e-05,1947.31089,0.00023,sslproto.py,771
read,23370,0.06404,0.0,0.09081,0.0,streams.py,617
<method 'read' of '_ssl._SSLSocket' objects>,132848121,1216.96477,1e-05,1216.96477,1e-05,~,0
download_and_write,8065303,6.25942,0.0,1077.86141,0.00013,async_http_transfer.py,23
fetch,8030248,5.45163,0.0,1058.27951,0.00013,async_http_transfer.py,12
<method 'join' of 'bytes' objects>,16014123,978.51363,6e-05,978.51363,6e-05,~,0
<method 'recv_into' of '_socket.socket' objects>,8006111,499.10448,6e-05,499.10448,6e-05,~,0
data_received,8002143,228.91059,3e-05,378.61028,5e-05,client_proto.py,201
<method 'write' of '_ssl.MemoryBIO' objects>,8006111,296.54896,4e-05,296.54896,4e-05,~,0
readany,16004286,17.22457,0.0,188.20813,1e-05,streams.py,387
feed_data,11685,0.0418,0.0,0.14108,1e-05,streams.py,600
_read_nowait,8013828,13.53989,0.0,112.68475,1e-05,streams.py,490
_read_nowait_chunk,8002143,27.20394,0.0,95.45003,1e-05,streams.py,463
call_soon,15997553,16.4882,0.0,69.76384,0.0,base_events.py,751
resume_reading,7834937,8.73734,0.0,46.13594,1e-05,sslproto.py,134
set_result,8002143,8.10536,0.0,60.11584,1e-05,helpers.py,808
_wait,15980916,21.97341,0.0,58.29882,0.0,streams.py,288
<method 'set_result' of '_asyncio.Future' objects>,8054176,10.37268,0.0,50.74622,1e-05,~,0
_call_soon,15997553,20.97557,0.0,49.42098,0.0,base_events.py,780
resume,7834937,12.81887,0.0,43.68956,1e-05,sslproto.py,863
_process_outgoing,8555945,15.84956,0.0,43.58934,1e-05,sslproto.py,711
_resume_reading,7834937,8.46389,0.0,37.3986,0.0,sslproto.py,859
pause_reading,7834937,6.83241,0.0,9.66416,0.0,sslproto.py,126
_control_ssl_reading,15841162,15.46367,0.0,29.05642,0.0,sslproto.py,874
select,69994,9.20645,0.00013,27.37989,0.00039,selectors.py,451
__init__,1,0.0,0.0,0.0,0.0,selectors.py,63
__aenter__,1,0.0,0.0,0.0,0.0,client.py,1158
_request,39790,0.79786,2e-05,25.95034,0.00065,client.py,383
<method 'append' of 'list' objects>,140627442,20.2596,0.0,20.2596,0.0,~,0
__enter__,4,0.0,0.0,0.0,0.0,<frozen importlib._bootstrap>,1026
send,11685,0.51877,4e-05,14.94943,0.00128,client_reqrep.py,651
_control_app_writing,8555945,10.04018,0.0,14.33607,0.0,sslproto.py,816
_get_read_buffer_size,15841162,13.59275,0.0,13.59275,0.0,sslproto.py,889
write_headers,11685,0.21434,2e-05,13.41167,0.00115,http_writer.py,121
