fname,ncalls,tottime,percall_tottime,cumtime,percall_cumtime,file_name,line_number
run_until_complete,1,3e-05,3e-05,6526.00803,6526.00803,base_events.py,617
run_forever,1,11.04105,11.04105,6526.00794,6526.00794,base_events.py,593
_run_once,13620978,143.66989,1e-05,6514.96686,0.00048,base_events.py,1845
_run,42387469,49.40354,0.0,4855.56001,0.00011,events.py,78
<method 'run' of '_contextvars.Context' objects>,42387469,104.59152,0.0,4806.15647,0.00011,~,0
_read_ready,19367117,17.74309,0.0,3591.1455,0.00019,selector_events.py,951
_read_ready__get_buffer,19367117,62.2625,0.0,3573.40242,0.00018,selector_events.py,954
buffer_updated,19367117,61.52892,0.0,2917.51725,0.00015,sslproto.py,432
_do_read,25414289,70.55235,0.0,2736.32404,0.00011,sslproto.py,720
_do_read__copied,21542096,175.63982,1e-05,2543.6276,0.00012,sslproto.py,771
read,23368,0.0824,0.0,0.10865,0.0,streams.py,617
<method 'read' of '_ssl._SSLSocket' objects>,145877460,1518.56725,1e-05,1518.56725,1e-05,~,0
select,13620978,73.42633,1e-05,1441.38462,0.00011,selectors.py,451
<method 'poll' of 'select.epoll' objects>,13620978,1345.90008,0.0001,1345.90008,0.0001,~,0
download_and_write,16810235,9.70545,0.0,1050.86828,6e-05,async_http_transfer.py,23
fetch,16775183,8.46006,0.0,1034.88662,6e-05,async_http_transfer.py,12
<method 'join' of 'bytes' objects>,30852599,839.72411,3e-05,839.72411,3e-05,~,0
<method 'recv_into' of '_socket.socket' objects>,19367117,567.27752,3e-05,567.27752,3e-05,~,0
data_received,16748651,273.38329,2e-05,531.10824,3e-05,client_proto.py,201
readany,33497302,37.46323,0.0,343.68878,1e-05,streams.py,387
feed_data,11684,0.04231,0.0,0.14937,1e-05,streams.py,600
<method 'write' of '_ssl.MemoryBIO' objects>,19367117,164.59953,1e-05,164.59953,1e-05,~,0
_read_nowait,16760335,37.60973,0.0,158.11412,1e-05,streams.py,490
_wait,33473934,48.84946,0.0,148.11142,0.0,streams.py,288
set_result,16748651,18.50742,0.0,137.45732,1e-05,helpers.py,808
call_soon,22950130,29.64532,0.0,122.92443,1e-05,base_events.py,751
