fname,ncalls,tottime,percall_tottime,cumtime,percall_cumtime,file_name,line_number
run_until_complete,1,3e-05,3e-05,4565.07755,4565.07755,base_events.py,617
run_forever,1,2.74751,2.74751,4565.07745,4565.07745,base_events.py,593
_run_once,2249657,50.28866,2e-05,4562.32991,0.00203,base_events.py,1845
_run,29192880,28.75335,0.0,4365.34411,0.00015,events.py,78
<method 'run' of '_contextvars.Context' objects>,29192880,138.56676,0.0,4336.59076,0.00015,~,0
_read_ready,11019504,10.16245,0.0,2972.29872,0.00027,selector_events.py,951
_read_ready__get_buffer,11019504,35.13081,0.0,2962.13627,0.00027,selector_events.py,954
buffer_updated,11019504,33.51167,0.0,2443.07954,0.00022,sslproto.py,432
_do_read,18375534,42.35978,0.0,2262.61227,0.00012,sslproto.py,720
_do_read__copied,12722373,130.46891,1e-05,2145.05113,0.00017,sslproto.py,771
read,23368,0.09639,0.0,0.12276,1e-05,streams.py,617
<method 'read' of '_ssl._SSLSocket' objects>,137047317,1333.23007,1e-05,1333.23007,1e-05,~,0
download_and_write,10656869,6.57763,0.0,1175.26859,0.00011,async_http_transfer.py,23
fetch,10621817,5.66031,0.0,1156.68852,0.00011,async_http_transfer.py,12
<method 'join' of 'bytes' objects>,20541399,1077.56603,5e-05,1077.56603,5e-05,~,0
<method 'recv_into' of '_socket.socket' objects>,11019504,468.73378,4e-05,468.73378,4e-05,~,0
data_received,10595220,232.80432,2e-05,406.14021,4e-05,client_proto.py,201
readany,21190440,20.85823,0.0,214.82913,1e-05,streams.py,387
<method 'write' of '_ssl.MemoryBIO' objects>,11019504,182.57457,2e-05,182.57457,2e-05,~,0
feed_data,11684,0.07011,1e-05,0.16937,1e-05,streams.py,600
select,2249657,20.60347,1e-05,121.57935,5e-05,selectors.py,451
_read_nowait,10606904,19.71207,0.0,116.95877,1e-05,streams.py,490
<method 'poll' of 'select.epoll' objects>,2249657,93.7655,4e-05,93.7655,4e-05,~,0
_read_nowait_chunk,10595220,26.74452,0.0,91.99451,1e-05,streams.py,463
call_soon,18105397,19.96526,0.0,86.10723,0.0,base_events.py,751
set_result,10595220,10.24665,0.0,80.86512,1e-05,helpers.py,808
_wait,21167072,26.68047,0.0,77.01212,0.0,streams.py,288
<method 'set_result' of '_asyncio.Future' objects>,10645685,13.73782,0.0,68.9587,1e-05,~,0
_call_soon,18105397,26.6936,0.0,61.75469,0.0,base_events.py,780
resume_reading,7356014,5.82464,0.0,43.72631,1e-05,sslproto.py,134
_process_outgoing,12737302,20.70225,0.0,52.2625,0.0,sslproto.py,711
resume,7356014,7.49798,0.0,44.52857,1e-05,sslproto.py,863
_resume_reading,7356014,7.47958,0.0,37.90167,1e-05,sslproto.py,859
__init__,1,0.0,0.0,0.0,0.0,selectors.py,63
pause_reading,7356014,6.03069,0.0,8.53833,0.0,sslproto.py,126
__aenter__,1,0.0,0.0,0.0,0.0,client.py,1158
_request,38281,0.78696,2e-05,27.07669,0.00071,client.py,383
__enter__,4,0.0,0.0,0.0,0.0,<frozen importlib._bootstrap>,1026
