fname,ncalls,tottime,percall_tottime,cumtime,percall_cumtime,file_name,line_number
__call__,23370,0.00377,0.0,0.00377,0.0,_quoting_c.pyx,283
<method 'done' of '_asyncio.Future' objects>,8860648,1.77037,0.0,1.77037,0.0,~,0
_do_quote,35055,0.43065,1e-05,1.73725,5e-05,_quoting_c.pyx,220
_release_connection,46740,0.09451,0.0,1.6624,4e-05,client_reqrep.py,1068
<built-in method _contextvars.copy_context>,7774534,1.64696,0.0,1.64696,0.0,~,0
assert_timeout,8811955,1.6413,0.0,1.6413,0.0,helpers.py,706
_set_state,7506,0.0129,0.0,0.0129,0.0,sslproto.py,490
<method 'recv' of '_socket.socket' objects>,55079,1.57651,3e-05,1.57651,3e-05,~,0
release,1,1e-05,1e-05,1e-05,1e-05,<frozen importlib._bootstrap>,125
wrap_future,35498,0.30649,1e-05,1.46736,4e-05,futures.py,409
__aexit__,2,1e-05,0.0,0.00908,0.00454,client.py,1161
_copy_future_state,35498,0.29178,1e-05,1.39638,4e-05,futures.py,345
_create_connection,6056,0.02202,0.0,1.37487,0.00023,connector.py,901
_create_direct_connection,6056,0.06163,1e-05,1.34348,0.00022,connector.py,1146
<method 'get' of 'dict' objects>,8885098,1.3025,0.0,1.32719,0.0,~,0
method,23370,0.11157,0.0,1.29559,6e-05,utils.py,41
update_cookies,11685,0.00362,0.0,0.00362,0.0,client_reqrep.py,461
_wrap_create_connection,4542,0.03545,1e-05,1.06283,0.00023,connector.py,980
_release,11685,0.11077,1e-05,1.03398,9e-05,connector.py,649
create_connection,4542,0.02679,1e-05,0.97575,0.00021,base_events.py,987
urlsplit,23370,0.63189,3e-05,0.86611,4e-05,parse.py,452
_release_acquired,11685,0.07374,1e-05,0.80349,7e-05,connector.py,634
_chain_future,35498,0.31839,1e-05,0.79913,2e-05,futures.py,365
start,4,3e-05,1e-05,0.00137,0.00034,threading.py,945
urlparse,11685,0.05632,0.0,0.71205,6e-05,parse.py,374
create_task,24957,0.32866,1e-05,0.69255,3e-05,base_events.py,429
time,245279,0.47197,0.0,0.68133,0.0,base_events.py,700
_get,11685,0.14888,1e-05,0.64158,5e-05,connector.py,577
_create_connection_transport,3028,0.02087,1e-05,0.56393,0.00019,base_events.py,1124
is_ip_address,13199,0.05856,0.0,0.54419,4e-05,helpers.py,544
write_bytes,11685,0.19632,2e-05,0.53962,5e-05,client_reqrep.py,610
_is_ip_address,38083,0.09353,0.0,0.53846,1e-05,helpers.py,527
connection_made,1514,0.01142,1e-05,0.09857,7e-05,base_protocol.py,60
_make_ssl_transport,1514,0.01425,1e-05,0.51049,0.00034,selector_events.py,64
makedirs,11685,0.04356,0.0,0.50954,4e-05,<frozen os>,200
_start_handshake,1514,0.01383,1e-05,0.50798,0.00034,sslproto.py,530
<method 'send' of '_socket.socket' objects>,16227,0.5011,3e-05,0.5011,3e-05,~,0
isfuture,227703,0.24284,0.0,0.49518,0.0,base_futures.py,14
_adjust_thread_count,35498,0.14973,0.0,0.48794,1e-05,thread.py,180
_release_waiter,11685,0.16827,1e-05,0.48293,4e-05,connector.py,608
raw_host,48254,0.10017,0.0,0.47178,1e-05,_url.py,489
_on_handshake_complete,1514,0.03656,2e-05,0.45287,0.0003,sslproto.py,565
<method 'put' of '_queue.SimpleQueue' objects>,35498,0.44342,1e-05,0.44342,1e-05,~,0
<method 'match' of 're.Pattern' objects>,38083,0.43991,1e-05,0.43991,1e-05,~,0
update_headers,11685,0.08344,1e-05,0.43532,4e-05,client_reqrep.py,422
hostname,59939,0.19173,0.0,0.43218,1e-05,parse.py,164
<built-in method builtins.isinstance>,613254/589884,0.19963,0.0,0.43092,0.0,~,0
_call_connection_lost,1450,0.34984,0.00024,0.42532,0.00029,selector_events.py,893
close,1,3e-05,3e-05,0.00902,0.00902,connector.py,411
_start_shutdown,1514,0.01181,1e-05,0.39238,0.00026,sslproto.py,605
done,35498,0.19993,1e-05,0.38329,1e-05,_base.py,393
timer,11685,0.02219,0.0,0.38023,3e-05,helpers.py,664
register,3029,0.01966,1e-05,0.03173,1e-05,selectors.py,234
_connect_sock,3028,0.01977,1e-05,0.35081,0.00012,base_events.py,943
_do_flush,1514,0.00389,0.0,0.34828,0.00023,sslproto.py,636
acquire,1,1e-05,1e-05,1e-05,1e-05,<frozen importlib._bootstrap>,100
_hostinfo,131563,0.24048,0.0,0.33657,0.0,parse.py,205
<built-in method posix.stat>,23373,0.30508,1e-05,0.30508,1e-05,~,0
_notify_release,11685,0.14455,1e-05,0.30376,3e-05,connector.py,155
port,13199,0.01066,0.0,0.08549,1e-05,client_reqrep.py,387
wrapper,11685,0.07669,1e-05,0.28871,2e-05,functools.py,904
sock_connect,3028,0.02418,1e-05,0.27984,9e-05,selector_events.py,614
_make_netloc,11685,0.02557,0.0,0.27838,2e-05,_url.py,785
__hash__,117707,0.22196,0.0,0.27199,0.0,<attrs generated hash aiohttp.client_reqrep.ConnectionKey>,1
_drop_acquired_per_host,13199,0.09791,1e-05,0.26547,2e-05,connector.py,377
exists,11685,0.01228,0.0,0.25698,2e-05,<frozen genericpath>,16
<built-in method builtins.hasattr>,232254,0.25529,0.0,0.25529,0.0,~,0
_encode_host,11685,0.02874,0.0,0.25281,2e-05,_url.py,763
_ensure_future,14714,0.02991,0.0,0.25229,2e-05,tasks.py,662
add_done_callback,35498,0.13096,0.0,0.22201,1e-05,_base.py,408
ip_address,11685,0.07039,1e-05,0.21809,2e-05,ipaddress.py,28
main,3,0.00038,0.00013,0.21761,0.07254,async_http_transfer.py,39
<built-in method builtins.max>,207958,0.21623,0.0,0.21623,0.0,~,0
set_response_params,11685,0.21558,2e-05,0.21558,2e-05,client_proto.py,139
_resolve_host,2029,0.02942,1e-05,0.21046,0.0001,connector.py,825
connection_key,11685,0.04024,0.0,0.21019,2e-05,client_reqrep.py,364
<built-in method time.monotonic>,247180,0.21001,0.0,0.21001,0.0,~,0
gather,1,0.02024,0.02024,0.20143,0.20143,tasks.py,728
_sock_connect,1514,0.01987,1e-05,0.19956,0.00013,selector_events.py,639
_notify_content,11685,0.11207,1e-05,0.19271,2e-05,client_reqrep.py,1086
__instancecheck__,11685,0.0183,0.0,0.05326,0.0,<frozen abc>,117
__eq__,96454,0.17764,0.0,0.17764,0.0,<attrs generated eq aiohttp.client_reqrep.ConnectionKey>,1
result,35498,0.11678,0.0,0.17636,0.0,_base.py,428
cancel,17890,0.07164,0.0,0.07485,0.0,events.py,64
call_at,14990,0.05343,0.0,0.17296,1e-05,base_events.py,733
update_auto_headers,11685,0.1128,1e-05,0.17051,1e-05,client_reqrep.py,447
should_close,23370,0.09872,0.0,0.16652,1e-05,client_proto.py,45
wrap_bio,1514,0.00853,1e-05,0.16475,0.00011,ssl.py,527
update_host,11685,0.02234,0.0,0.16351,1e-05,client_reqrep.py,396
shuffle,11621,0.09708,1e-05,0.16199,1e-05,random.py,376
bit_at,2103671,0.15747,0.0,0.15747,0.0,_quoting_c.pyx,59
_write_char,2103671,0.15545,0.0,0.15545,0.0,_quoting_c.pyx,98
__get__,35055,0.04495,0.0,0.14368,0.0,_url.py,41
__subclasscheck__,11701/11686,0.02094,0.0,0.04888,0.0,<frozen abc>,121
_do_shutdown,2964,0.01132,0.0,0.14229,5e-05,sslproto.py,641
_weakref_handle,276,0.00396,1e-05,0.13275,0.00048,helpers.py,592
is_default_port,11685,0.0257,0.0,0.1289,1e-05,_url.py,378
_normalize_path,11685,0.0312,0.0,0.12886,1e-05,_url.py,749
_cleanup,276,0.01534,6e-05,0.12777,0.00046,connector.py,332
dispatch,11685,0.06287,1e-05,0.12776,1e-05,functools.py,818
<method 'format' of 'str' objects>,20643,0.12443,1e-05,0.12443,1e-05,~,0
request_info,11685,0.04807,0.0,0.1182,1e-05,client_reqrep.py,391
_do_expiration,11685,0.03208,0.0,0.11622,1e-05,cookiejar.py,158
_create,1514,0.00603,0.0,0.11556,8e-05,ssl.py,866
write_eof,11685,0.03785,0.0,0.1134,1e-05,http_writer.py,132
_wait_released,11685,0.08882,1e-05,0.1096,1e-05,client_reqrep.py,1076
<method '_wrap_bio' of '_ssl._SSLContext' objects>,1514,0.1085,7e-05,0.1085,7e-05,~,0
getpeercert,1514,0.003,0.0,0.10602,7e-05,ssl.py,932
exception,23370,0.00825,0.0,0.00825,0.0,streams.py,588
strip_auth_from_url,11685,0.01252,0.0,0.10583,1e-05,helpers.py,178
get_key,7443,0.02756,0.0,0.10445,1e-05,selectors.py,180
<method 'getpeercert' of '_ssl._SSLSocket' objects>,1514,0.10302,7e-05,0.10302,7e-05,~,0
_add_reader,1515,0.0152,1e-05,0.09184,6e-05,selector_events.py,261
open,11685,0.07496,1e-05,0.10135,1e-05,__init__.py,37
split,23370,0.06427,0.0,0.1002,0.0,<frozen posixpath>,100
_cleanup_writer,35055,0.08717,0.0,0.10004,0.0,client_reqrep.py,1081
add,443,0.00461,1e-05,0.00479,1e-05,connector.py,701
_sock_write_done,1514,0.00525,0.0,0.0966,6e-05,selector_events.py,662
_splitnetloc,23370,0.06468,0.0,0.09646,0.0,parse.py,413
cancelled,1514,0.00072,0.0,0.00072,0.0,events.py,75
_remove,24957,0.07715,0.0,0.09374,0.0,_weakrefset.py,39
from_url,11685,0.01758,0.0,0.09331,1e-05,helpers.py,163
_done_callback,11685,0.07926,1e-05,0.09152,1e-05,tasks.py,764
remove_writer,1514,0.00609,0.0,0.09063,6e-05,selector_events.py,352
<built-in method posix.mkdir>,11685,0.08999,1e-05,0.08999,1e-05,~,0
<method '__enter__' of '_thread.RLock' objects>,177490,0.08931,0.0,0.08931,0.0,~,0
_add_writer,1514,0.01379,1e-05,0.08795,6e-05,selector_events.py,298
join,23370,0.05815,0.0,0.0878,0.0,<frozen posixpath>,71
tcp_nodelay,1514,0.02965,2e-05,0.08689,6e-05,tcp_helpers.py,24
resolve,886,0.00978,1e-05,0.08634,0.0001,resolver.py,30
_,11685,0.04926,0.0,0.08426,1e-05,__init__.py,109
clear,1,1e-05,1e-05,2e-05,2e-05,<frozen _collections_abc>,933
RLock,35498,0.08327,0.0,0.08327,0.0,threading.py,90
<built-in method _asyncio.get_running_loop>,49768,0.08308,0.0,0.08308,0.0,~,0
isdir,11685,0.01462,0.0,0.07787,1e-05,<frozen genericpath>,39
_remove_writer,2964,0.01686,1e-05,0.07775,3e-05,selector_events.py,314
ceil_timeout,13199,0.0174,0.0,0.07616,1e-05,helpers.py,746
drain,11685,0.03198,0.0,0.07555,1e-05,http_writer.py,162
_normalize_path_segments,11685,0.05697,0.0,0.07548,1e-05,_url.py,55
ensure_future,1515,0.00369,0.0,0.0754,5e-05,tasks.py,654
family,1514,0.00541,0.0,0.03172,2e-05,trsock.py,18
<built-in method builtins.issubclass>,11685,0.02654,0.0,0.07514,1e-05,~,0
call_later,3028,0.0128,0.0,0.07314,2e-05,base_events.py,709
with_fragment,23370,0.03794,0.0,0.07252,0.0,_url.py,1028
host,11685,0.00842,0.0,0.07199,1e-05,client_reqrep.py,381
<method 'partition' of 'str' objects>,346435,0.0709,0.0,0.0709,0.0,~,0
<method 'connect' of '_socket.socket' objects>,1514,0.06907,5e-05,0.06907,5e-05,~,0
getaddrinfo,886,0.00201,0.0,0.06841,8e-05,base_events.py,860
__getitem__,2,2e-05,1e-05,2e-05,1e-05,<frozen os>,674
set_exception,1450,0.0008,0.0,0.0008,0.0,streams.py,591
_call_check_cancel,35498,0.05484,0.0,0.06497,0.0,futures.py,387
_randbelow_with_getrandbits,25475,0.04581,0.0,0.06321,0.0,random.py,235
timeout,13199,0.02604,0.0,0.05876,0.0,timeouts.py,129
_get_loop,60,4e-05,0.0,6e-05,0.0,mixins.py,12
method_must_be_empty_body,11685,0.04716,0.0,0.05775,0.0,helpers.py,975
_intenum_converter,9084,0.02146,0.0,0.05757,1e-05,socket.py,99
__lt__,96314,0.04934,0.0,0.05744,0.0,events.py,119
unwrap,2964,0.00331,0.0,0.05518,2e-05,ssl.py,981
is_connected,13948,0.04186,0.0,0.05253,0.0,client_proto.py,70
get,2,1e-05,1e-05,4e-05,2e-05,<frozen _collections_abc>,771
<method 'shutdown' of '_ssl._SSLSocket' objects>,2964,0.05187,2e-05,0.05187,2e-05,~,0
_get_ssl_context,1514,0.01766,1e-05,0.05181,3e-05,connector.py,938
_set_nodelay,1514,0.01604,1e-05,0.05147,3e-05,base_events.py,191
user,11685,0.0162,0.0,0.05103,0.0,_url.py,462
_available_connections,23306,0.04654,0.0,0.0503,0.0,connector.py,461
<built-in method builtins.hash>,117707,0.05003,0.0,0.05003,0.0,~,0
_userinfo,46740,0.03986,0.0,0.04914,0.0,parse.py,193
_coerce_args,35055,0.04441,0.0,0.04907,0.0,parse.py,119
<method 'rpartition' of 'str' objects>,178310,0.04802,0.0,0.04802,0.0,~,0
_ensure_resolved,3028,0.00949,0.0,0.0459,2e-05,base_events.py,1410
username,23370,0.01668,0.0,0.04479,0.0,parse.py,156
_drain_helper,11685,0.03512,0.0,0.04356,0.0,base_protocol.py,81
<built-in method _heapq.heappop>,4416,0.01466,0.0,0.04324,1e-05,~,0
_process_self_data,27540,0.04322,0.0,0.04322,0.0,unix_events.py,81
<method 'add' of 'set' objects>,51364,0.04309,0.0,0.04309,0.0,~,0
_ensure_fd_no_transport,3028,0.0187,1e-05,0.04267,1e-05,selector_events.py,243
<built-in method _heapq.heappush>,14990,0.02113,0.0,0.04251,0.0,~,0
wait_for_close,11685,0.01358,0.0,0.04147,0.0,client_reqrep.py,1092
<method 'add_done_callback' of '_asyncio.Future' objects>,38526,0.04143,0.0,0.04143,0.0,~,0
password,23370,0.01371,0.0,0.03474,0.0,parse.py,160
_writer,11685,0.00457,0.0,0.00457,0.0,client_reqrep.py,345
unregister,2964,0.00489,0.0,0.00958,0.0,selectors.py,247
_encode_hostname,1514,0.01069,1e-05,0.04066,3e-05,ssl.py,503
_ip_int_from_string,11685,0.02747,0.0,0.03205,0.0,ipaddress.py,1617
_real_close,1450,0.00187,0.0,0.03794,3e-05,socket.py,495
on_eof,23370,0.03314,0.0,0.03673,0.0,streams.py,163
_ipaddr_info,3028,0.02623,1e-05,0.03642,1e-05,base_events.py,99
<function socket.close at 0x7f856375ab60>,1450,0.03607,2e-05,0.03607,2e-05,~,0
keep_alive,11685,0.03231,0.0,0.03508,0.0,client_reqrep.py,596
<built-in method _abc._abc_instancecheck>,11685,0.03467,0.0,0.03496,0.0,~,0
raw_fragment,23370,0.03458,0.0,0.03458,0.0,_url.py,600
closed,11686,0.00391,0.0,0.00391,0.0,connector.py,453
connection_lost,1450,0.00098,0.0,0.00098,0.0,base_protocol.py,65
<method 'copy' of 'multidict._multidict.CIMultiDict' objects>,11685,0.03328,0.0,0.03328,0.0,~,0
raw_user,11685,0.00862,0.0,0.03268,0.0,_url.py,449
_sock_connect_cb,1514,0.01077,1e-05,0.03222,2e-05,selector_events.py,666
_remove_reader,1450,0.00668,0.0,0.03205,2e-05,selector_events.py,277
is_ssl,14713,0.02139,0.0,0.03143,0.0,client_reqrep.py,357
protocol,70110,0.03087,0.0,0.03087,0.0,connector.py,147
_timer_handle_cancelled,14926,0.03009,0.0,0.03009,0.0,base_events.py,1840
_get_sep,46740,0.01974,0.0,0.0297,0.0,<frozen posixpath>,41
<method 'get' of 'multidict._multidict.MultiDict' objects>,35055,0.02924,0.0,0.02924,0.0,~,0
_fileobj_lookup,13436,0.01262,0.0,0.02919,0.0,selectors.py,215
<method '__exit__' of '_thread.RLock' objects>,177494,0.02918,0.0,0.02918,0.0,~,0
<method 'encode' of 'str' objects>,3030/1516,0.01487,0.0,0.02817,2e-05,~,0
<built-in method _abc._abc_subclasscheck>,11701/11686,0.02794,0.0,0.02795,0.0,~,0
<method 'lower' of 'str' objects>,106679,0.02772,0.0,0.02772,0.0,~,0
__get_result,35498,0.02736,0.0,0.02736,0.0,_base.py,398
<built-in method __new__ of type object at 0x5580ccfa3880>,64484,0.02726,0.0,0.02726,0.0,~,0
status_code_must_be_empty_body,11685,0.0268,0.0,0.0268,0.0,helpers.py,982
_inner_done_callback,1514,0.00873,1e-05,0.02649,2e-05,tasks.py,891
<method 'replace' of 'str' objects>,140220,0.0263,0.0,0.0263,0.0,~,0
raw_password,11685,0.00717,0.0,0.02627,0.0,_url.py,471
<method 'find' of 'str' objects>,93480,0.02585,0.0,0.02585,0.0,~,0
raw_path,11685,0.0255,0.0,0.0255,0.0,_url.py,536
_check_default_executor,35498,0.02514,0.0,0.02514,0.0,base_events.py,521
<method 'register' of 'select.epoll' objects>,3029,0.02354,1e-05,0.02354,1e-05,~,0
__setitem__,5,1e-05,0.0,1e-05,0.0,weakref.py,427
_prepare_headers,23370,0.02257,0.0,0.02257,0.0,client.py,954
_wakeup_waiter,2964,0.00526,0.0,0.02244,1e-05,sslproto.py,361
_on_shutdown_complete,1450,0.00424,0.0,0.02193,2e-05,sslproto.py,654
update_expect_continue,11685,0.01527,0.0,0.02193,0.0,client_reqrep.py,575
<method '__exit__' of '_thread.lock' objects>,106505,0.02177,0.0,0.02177,0.0,~,0
_make_ssl_context,1,1e-05,1e-05,0.02177,0.02177,connector.py,915
create_default_context,1,4e-05,4e-05,0.02176,0.02176,ssl.py,745
__reset_writer,11685,0.0147,0.0,0.0147,0.0,client_reqrep.py,821
add_callback,11685,0.01974,0.0,0.02166,0.0,connector.py,151
<method 'clear' of 'list' objects>,23371,0.0213,0.0,0.0213,0.0,~,0
_validate_authority_uri_abs_path,11685,0.01488,0.0,0.02115,0.0,_url.py,705
<method 'cancelled' of '_asyncio.Future' objects>,74024,0.02095,0.0,0.02095,0.0,~,0
shield,1514,0.0119,1e-05,0.02059,1e-05,tasks.py,851
<method '__enter__' of '_thread.lock' objects>,35502,0.02023,0.0,0.02023,0.0,~,0
<method 'unregister' of 'select.epoll' objects>,2964,0.02014,1e-05,0.02014,1e-05,~,0
__getattr__,1,2e-05,2e-05,0.02014,0.02014,__init__.py,40
_find_and_load,1,2e-05,2e-05,0.02012,0.02012,<frozen importlib._bootstrap>,1165
_find_and_load_unlocked,1,2e-05,2e-05,0.02004,0.02004,<frozen importlib._bootstrap>,1120
_load_unlocked,1,1e-05,1e-05,0.01984,0.01984,<frozen importlib._bootstrap>,666
exec_module,1,2e-05,2e-05,0.01975,0.01975,<frozen importlib._bootstrap_external>,934
get_code,1,3e-05,3e-05,0.01958,0.01958,<frozen importlib._bootstrap_external>,1007
<method 'split' of 'str' objects>,35055,0.01954,0.0,0.01954,0.0,~,0
__len__,23370,0.01587,0.0,0.01929,0.0,streams.py,579
get_data,1,3e-05,3e-05,0.01928,0.01928,<frozen importlib._bootstrap_external>,1127
<method 'read' of '_io.BufferedReader' objects>,1,0.01921,0.01921,0.01921,0.01921,~,0
<method 'remove' of 'set' objects>,26398,0.01914,0.0,0.01914,0.0,~,0
load_default_certs,1,1e-05,1e-05,0.01857,0.01857,ssl.py,591
<method 'set_default_verify_paths' of '_ssl._SSLContext' objects>,1,0.01856,0.01856,0.01856,0.01856,~,0
_checknetloc,23370,0.01506,0.0,0.01833,0.0,parse.py,421
<method 'isascii' of 'str' objects>,130049,0.01784,0.0,0.01784,0.0,~,0
filter_cookies,11685,0.01497,0.0,0.01777,0.0,cookiejar.py,237
<method 'getall' of 'multidict._multidict.MultiDictProxy' objects>,11685,0.01744,0.0,0.01744,0.0,~,0
<method 'discard' of 'set' objects>,24957,0.01659,0.0,0.01659,0.0,~,0
_fileobj_to_fd,13436,0.01401,0.0,0.01656,0.0,selectors.py,21
<method 'add_done_callback' of '_asyncio.Task' objects>,36570,0.01591,0.0,0.01591,0.0,~,0
start_timeout,11685,0.01018,0.0,0.01568,0.0,client_proto.py,192
connected,23370,0.01545,0.0,0.01545,0.0,base_protocol.py,25
type,3028,0.00762,0.0,0.01509,0.0,socket.py,521
<method 'getsockname' of '_socket.socket' objects>,1514,0.01504,1e-05,0.01504,1e-05,~,0
<method 'isdigit' of 'str' objects>,71624,0.01482,0.0,0.01482,0.0,~,0
<method 'upper' of 'str' objects>,23370,0.0148,0.0,0.0148,0.0,~,0
<method 'startswith' of 'str' objects>,46742,0.01464,0.0,0.01464,0.0,~,0
<built-in method builtins.getattr>,11967,0.01456,0.0,0.01456,0.0,~,0
scheme,26398,0.0142,0.0,0.0142,0.0,_url.py,420
is_closing,4354,0.00316,0.0,0.00316,0.0,selector_events.py,830
_on_chunk_request_sent,11685,0.01376,0.0,0.01376,0.0,client_reqrep.py,744
<method 'getrandbits' of '_random.Random' objects>,44652,0.01375,0.0,0.01375,0.0,~,0
encode,2,1e-05,0.0,1e-05,0.0,<frozen os>,756
_merge_ssl_params,11686,0.00936,0.0,0.01345,0.0,client_reqrep.py,156
<method 'setsockopt' of '_socket.socket' objects>,3028,0.01267,0.0,0.01267,0.0,~,0
_split_scope_id,11685,0.01011,0.0,0.01231,0.0,ipaddress.py,1854
setsockopt,1514,0.00393,0.0,0.01176,1e-05,trsock.py,73
get_extra_info,1514,0.00281,0.0,0.00394,0.0,transports.py,19
_on_headers_request_sent,11685,0.01154,0.0,0.01154,0.0,client_reqrep.py,748
update_version,11685,0.00859,0.0,0.01137,0.0,client_reqrep.py,407
reschedule,13199,0.01132,0.0,0.01132,0.0,timeouts.py,50
<built-in method _heapq.heapify>,7,0.00329,0.00047,0.01077,0.00154,~,0
<built-in method builtins.min>,23839,0.01069,0.0,0.01069,0.0,~,0
<built-in method builtins.sorted>,11685,0.01063,0.0,0.01063,0.0,~,0
